PATH	SYMBOL	CLASSIFICATION	EXECUTION_SURFACE	PRODUCTIVE_REACHABLE	STATE_READ	STATE_WRITE	DIRECTION_WRITE	SIDE_WRITE	SWITCH_TRIGGER	TRANSITION_STATE_CALLED	TRANSITION_RESULT_OVERRIDDEN	CONFIG_OVERRIDE	EVIDENCE	RISK	RECOMMENDED_ACTION
src/backtest/mv2_research_wiring_v1.py	apply_backtest_engine_position_feedback_to_mv2_sequence_state_v1	CONSUMER_PROJECTION_ONLY	MV2 research/backtest sequence	yes	yes	position/reconciliation/context only	no	no	no	no	no	no	Explicit docstring: does not overwrite side/direction/scope	LOW	KEEP
src/backtest/mv2_research_wiring_v1.py	advance_mv2_integrated_replay_bar_sequence_state_v1	CONSUMER_PROJECTION_ONLY	bar advance from intermediate.state_switch	yes	yes	copies next_side_state from transition output	derived	derived from transition output	no independent	indirect	no	no	Carries transition_state result forward; does not invent SideState	LOW	KEEP
src/trading/master_v2/offline_double_play_scenario_replay_v0.py	tick.scope_event injection	SCENARIO_NON_PRODUCTIVE	offline scenario harness	no (default fail-closed)	yes	via transition_state	projection	via transition_state	via transition_state	yes	no	allow_test_scope_event_injection + TEST_INJECTION provenance	Generator bypass for event source only; still routes through transition_state	MED	KEEP TEST_ONLY_GUARDED
src/trading/master_v2/bull_bear_state_switch_scenario_binding_adapter_v0.py	evaluate_scenario_state_switch_v0	SCENARIO_NON_PRODUCTIVE	scenario binding	no (scenario)	yes	via transition_state	no	via transition_state	via transition_state	yes	no	no	Thin wrapper; sole owner remains transition_state	LOW	KEEP
src/webui/double_play_dashboard_display_json_route_v0.py	_transition_step / get_double_play_dashboard_display_json	CONSUMER_PROJECTION_ONLY	HTTP read-only display fixture	yes (HTTP) non-SSOT	local fixture	local ephemeral only	no	local fixture only	local fixture only	yes	no	no	Static in-memory; no scanner/exchange/session persist	LOW	KEEP
src/ops/durable_completion_validation/validators/event_stream.py	_validate_master_v2_transition_semantics	CONSUMER_PROJECTION_ONLY	evidence validation	yes (validator)	evidence records	ephemeral compare only	no	no	no	yes (semantic check)	no (mismatch fails)	no	claims_live_authority forbidden	LOW	KEEP
src/trading/master_v2/canonical_core_runtime_integration_bridge_v0.py	run_canonical_core_runtime_integration_bridge_v0	CANONICAL_AUTHORITY	offline bridge consumer	yes offline; runtime not activated	via integrated	via integrated/transition_state	via chain	via chain	via chain	indirect	no	harness seed LONG_ARMED bootstrap	Always INTEGRATION_STATUS_BOUND_NOT_ACTIVATED; dual_authority_possible=False	LOW	KEEP BOUND_NOT_ACTIVATED
src/ops/bounded_master_v2_testnet_completion_path_wiring_v0.py	build_replay_input_from_testnet_market_input	SCENARIO_NON_PRODUCTIVE	bounded testnet evidence wiring (non-executing)	no Live/Orders; offline evidence yes	market ticks	scenario replay input	no	via scenario→transition_state if events present	via transition_state	indirect	no	defaults allow_test_scope_event_injection=True	Module non-authorizing / zero-order; residual generator-bypass flag default	MED	FAIL_CLOSED / require explicit provenance on ticks; optional separate PR
src/ops/offline_master_v2_replay_six_node_validation_graph_binding_v0.py	default OfflineDoublePlayScenarioReplayInputV0	TEST_FIXTURE_ONLY	six-node offline validation graph	no	synthetic ticks	scenario replay	no	via transition_state	via transition_state	indirect	no	allow_test_scope_event_injection=True for synthetic default	Offline validation only	LOW	KEEP TEST_ONLY
src/live/operator_context.py	switch_gate context carrier	CONSUMER_PROJECTION_ONLY	live operator context dict	yes (context)	yes	context dict only	no	no	no	no	no	no	Passes switch_gate blob; specialists do not step it	LOW	KEEP
src/trading/master_v2/double_play_sole_authority_quarantine_v1.py	quarantine markers	CANONICAL_AUTHORITY	governance markers	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Documents FAIL_CLOSED / OBSERVATION_ONLY / TEST_ONLY / BOUND_NOT_ACTIVATED	LOW	KEEP
