branch_name	last_commit_date	sha	upstream	merged_into_main	category	initial_recommendation
feat/ops-gh-inventory-runner	2026-03-05	e4ac5a37	origin/feat/ops-gh-inventory-runner	no	feat	INITIAL
feat/ops-incident-runbooks-v1	2026-03-06	01d50587	none	no	feat	INITIAL
feat/ops-launchagent-modes	2026-03-05	421459b8	origin/feat/ops-launchagent-modes	no	feat	INITIAL
feat/ops-live-pilot-caps-scaffold	2026-03-05	12431e06	origin/feat/ops-live-pilot-caps-scaffold	no	feat	INITIAL
feat/ops-live-pilot-exec-wrapper	2026-03-05	90281e60	origin/feat/ops-live-pilot-exec-wrapper	no	feat	INITIAL
feat/ops-long-run-hygiene-v1	2026-03-06	10e3b6ba	none	no	feat	INITIAL
feat/ops-morning-one-shot-pull-prbg	2026-03-03	4f22da2f	none	no	feat	INITIAL
feat/ops-no-knall-scheduled-ci	2026-02-19	cced0c6e	none	no	feat	INITIAL
feat/ops-operator-all-wrapper	2026-03-04	6bc351d4	origin/feat/ops-operator-all-wrapper	no	feat	INITIAL
feat/ops-prk-dashboard-fetcher	2026-02-23	a0cff32c	origin/feat/ops-prk-dashboard-fetcher	no	feat	INITIAL
feat/ops-registry-alerts-gate	2026-03-04	b0a19aa7	origin/feat/ops-registry-alerts-gate	no	feat	INITIAL
feat/ops-registry-trend-report	2026-03-04	a7e93c2c	origin/feat/ops-registry-trend-report	no	feat	INITIAL
feat/ops-remove-all-ci-trigger-full-checks	2026-03-05	59248426	origin/feat/ops-remove-all-ci-trigger-full-checks	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1565	2026-02-22	1699b4c3	origin/feat/ops-remove-ci-trigger-pr1565	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1594	2026-02-24	f0e1974b	none	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1600	2026-02-24	00b4f9e8	origin/feat/ops-remove-ci-trigger-pr1600	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1601	2026-02-25	c952b950	origin/feat/ops-remove-ci-trigger-pr1601	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1603	2026-02-25	532cd2ea	origin/feat/ops-remove-ci-trigger-pr1603	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1605	2026-02-25	514dbfa7	origin/feat/ops-remove-ci-trigger-pr1605	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1606	2026-02-25	83780ba8	origin/feat/ops-remove-ci-trigger-pr1606	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1609	2026-02-25	90151300	origin/feat/ops-remove-ci-trigger-pr1609	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1628	2026-02-28	09a7a389	none	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1634	2026-03-01	508b6fd8	origin/feat/ops-remove-ci-trigger-pr1634	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1636	2026-03-01	2dd868e6	origin/feat/ops-remove-ci-trigger-pr1636	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1637	2026-03-01	4136935c	origin/feat/ops-remove-ci-trigger-pr1637	no	feat	INITIAL
feat/ops-remove-ci-trigger-pr1686	2026-03-05	bdffbcb9	none	no	feat	INITIAL
feat/ops-remove-trampoline-pr1564	2026-02-22	f3284a05	origin/feat/ops-remove-trampoline-pr1564	no	feat	INITIAL
feat/ops-remove-trampoline-pr1566	2026-02-23	234b417b	origin/feat/ops-remove-trampoline-pr1566	no	feat	INITIAL
feat/ops-restore-todo-to-docs-script	2026-02-20	2087dfdd	origin/feat/ops-restore-todo-to-docs-script	no	feat	INITIAL
feat/ops-run-testnet-evidence-flow-script	2026-02-25	7ca7c36b	origin/feat/ops-run-testnet-evidence-flow-script	no	feat	INITIAL
feat/ops-status-prbi-latest-prefer	2026-03-03	8dd53a1d	origin/feat/ops-status-prbi-latest-prefer	no	feat	INITIAL
feat/p101-ops-workbook-a2z-v1	2026-02-16	187b3743	origin/feat/p101-ops-workbook-a2z-v1	no	feat	INITIAL
feat/p103-p91-launchd-dynamic-outdir-v1	2026-02-16	9b13f85b	origin/feat/p103-p91-launchd-dynamic-outdir-v1	no	feat	INITIAL
feat/p104-soak-watch-v1	2026-02-16	2f34758e	origin/feat/p104-soak-watch-v1	no	feat	INITIAL
feat/p105-exchange-execution-workbook-v1	2026-02-16	9f2ab28b	origin/feat/p105-exchange-execution-workbook-v1	no	feat	INITIAL
feat/p106-execution-adapter-cap-matrix-v1	2026-02-16	f3286ae8	origin/feat/p106-execution-adapter-cap-matrix-v1	no	feat	INITIAL
feat/p108-okx-adapter-v1-mocks-only	2026-02-17	7dd3e44e	origin/feat/p108-okx-adapter-v1-mocks-only	no	feat	INITIAL
feat/p109-bybit-adapter-v1-mocks-only	2026-02-17	8be6beaf	origin/feat/p109-bybit-adapter-v1-mocks-only	no	feat	INITIAL
feat/p110-execution-adapter-matrix-smoke-v1	2026-02-17	37e33b7e	origin/feat/p110-execution-adapter-matrix-smoke-v1	no	feat	INITIAL
feat/p112-execution-router-v1-mocks-only	2026-02-17	762994c4	origin/feat/p112-execution-router-v1-mocks-only	no	feat	INITIAL
feat/p113-execution-router-cli-v1	2026-02-17	8b7c5459	origin/feat/p113-execution-router-cli-v1	no	feat	INITIAL
feat/p114-execution-router-wiring-v1	2026-02-17	27cd7e8f	origin/feat/p114-execution-router-wiring-v1	no	feat	INITIAL
feat/p115-execution-session-runner-v1-mocks-only	2026-02-17	595ac238	origin/feat/p115-execution-session-runner-v1-mocks-only	no	feat	INITIAL
feat/p116-execution-session-evidence-v1	2026-02-17	e946d371	origin/feat/p116-execution-session-evidence-v1	no	feat	INITIAL
feat/p117-ops-loop-execution-evidence-hook-v1	2026-02-17	ee36b2f0	origin/feat/p117-ops-loop-execution-evidence-hook-v1	no	feat	INITIAL
feat/p119-execution-wiring-plan-v1	2026-02-17	9bdf213b	origin/feat/p119-execution-wiring-plan-v1	no	feat	INITIAL
feat/p120-sha256sums-style-guard	2026-02-17	55f66c3b	origin/feat/p120-sha256sums-style-guard	no	feat	INITIAL
feat/p121-execution-wiring-proof-v1	2026-02-17	9bb8fea7	origin/feat/p121-execution-wiring-proof-v1	no	feat	INITIAL
feat/p125-execution-networked-transport-gate-v1	2026-02-17	eaa98ef8	none	no	feat	INITIAL
feat/p129-execution-networked-onramp-cli-v1	2026-02-17	f58dc427	origin/feat/p129-execution-networked-onramp-cli-v1	no	feat	INITIAL
feat/p133-exec-net-rate-limit-backoff-v1	2026-02-17	001d189a	none	no	feat	INITIAL
feat/p134-shadow-readonly-intents	2026-02-17	3106d43f	none	no	feat	INITIAL
feat/p135-exec-net-readonly-evidence-pack-v1	2026-02-17	e1a1d744	none	no	feat	INITIAL
feat/p137-exec-net-shadow-readonly-finish-pack-v1	2026-02-17	7c2bb0ef	none	no	feat	INITIAL
feat/p138-scaffold	2026-02-17	0059f7b2	none	no	feat	INITIAL
feat/p139-exec-net-scaffold	2026-02-17	2c37fb97	none	no	feat	INITIAL
feat/p141-exec-net-paper-runner-onramp-v1	2026-02-17	37655d1d	none	no	feat	INITIAL
feat/p22-roadmap-gate-fix	2026-02-12	823dfb2b	origin/feat/p22-roadmap-gate-fix	no	feat	INITIAL
feat/p23-backtest-execution-fillmodel-v1	2026-02-12	bd3e2d9f	none	no	feat	INITIAL
feat/p31-backtest-metrics-v1	2026-02-13	581f9743	origin/feat/p31-backtest-metrics-v1	no	feat	INITIAL
feat/p37-bundle-index-v1	2026-02-13	8ed30896	origin/feat/p37-bundle-index-v1	no	feat	INITIAL
feat/p40-backtest-runner-cli-v1	2026-02-13	1c32b530	none	no	feat	INITIAL
feat/p42-ci-ops-scaffold	2026-02-13	bf2b4546	none	no	feat	INITIAL
feat/p44-pr-ops-runbook-v1	2026-02-13	1835e39b	none	no	feat	INITIAL
feat/p45-pr-ops-entrypoint-v1	2026-02-13	0f62ecd7	none	no	feat	INITIAL
feat/p46-pr-ops-v1-canonical	2026-02-13	9fc8b5cf	origin/feat/p46-pr-ops-v1-canonical	no	feat	INITIAL
feat/p46-trend-ledger-hardening-v2	2026-02-13	9a005c4b	origin/feat/p46-trend-ledger-hardening-v2	no	feat	INITIAL
feat/p47-ci-pr-gate-health-v1	2026-02-13	a7ca6949	origin/feat/p47-ci-pr-gate-health-v1	no	feat	INITIAL
feat/p48-ai-activation-gate-v1	2026-02-15	4bd576ee	origin/feat/p48-ai-activation-gate-v1	no	feat	INITIAL
feat/p49-p49-ai-model-hard-gate-v1	2026-02-15	67535fdc	origin/feat/p49-p49-ai-model-hard-gate-v1	no	feat	INITIAL
feat/p50-ai-model-enablement-policy-v1	2026-02-15	5fcdd2a8	origin/feat/p50-ai-model-enablement-policy-v1	no	feat	INITIAL
feat/p50-policy-dry-validate-script	2026-02-15	d9e5def6	origin/feat/p50-policy-dry-validate-script	no	feat	INITIAL
feat/p52-ai-switch-layer-v1	2026-02-15	e936e223	origin/feat/p52-ai-switch-layer-v1	no	feat	INITIAL
feat/p53-ai-switch-layer-orch-hook-v1	2026-02-15	c117b9af	origin/feat/p53-ai-switch-layer-orch-hook-v1	no	feat	INITIAL
feat/p55-switch-layer-e2e-gated-v1	2026-02-15	5cbc8b60	none	no	feat	INITIAL
feat/p56-switch-layer-allowlist-routing-v1	2026-02-15	b0443ff4	none	no	feat	INITIAL
feat/p57-switch-layer-paper-shadow-integration-v1	2026-02-15	01710b55	origin/feat/p57-switch-layer-paper-shadow-integration-v1	no	feat	INITIAL
feat/p58-switch-layer-online-readiness-v1	2026-02-15	106a79ba	none	no	feat	INITIAL
feat/p59-ops-returntype-normalize-v1	2026-02-15	20719c28	origin/feat/p59-ops-returntype-normalize-v1	no	feat	INITIAL
feat/p5b-evidence-validator-required	2026-02-19	da4f4ef5	none	no	feat	INITIAL
feat/p5b-kickoff-20260211	2026-02-11	78b83bb6	origin/feat/p5b-kickoff-20260211	no	feat	INITIAL
feat/p61-online-readiness-contract-v1	2026-02-15	f414d25b	none	no	feat	INITIAL
feat/p62-online-readiness-shadow-session-v1	2026-02-15	63a387a3	none	no	feat	INITIAL
feat/p63-online-readiness-shadow-runner-v1	2026-02-15	5f79428c	none	no	feat	INITIAL
feat/p67-shadow-session-scheduler-v1	2026-02-15	93fbbe99	none	no	feat	INITIAL
feat/p68-p68-shadow-loop-runbook-v1	2026-02-15	0444b718	none	no	feat	INITIAL
feat/p69-repo-clean-baseline-pin-v1	2026-02-16	dc0ab35a	origin/feat/p69-repo-clean-baseline-pin-v1	no	feat	INITIAL
feat/p7-kickoff-20260211	2026-02-11	7c47cdea	origin/feat/p7-kickoff-20260211	no	feat	INITIAL
feat/p7-paper-sim-core	2026-02-19	9a4a97a6	none	no	feat	INITIAL
feat/p7-reconciliation-checks-20260211	2026-02-11	94513ac4	origin/feat/p7-reconciliation-checks-20260211	no	feat	INITIAL
feat/p72-shadowloop_pack_v1	2026-02-16	f4dfd00f	none	no	feat	INITIAL
feat/p74-p72-pack-env-contract-v1	2026-02-16	71cf01f8	origin/feat/p74-p72-pack-env-contract-v1	no	feat	INITIAL
feat/p76-online-readiness-go-no-go-v1	2026-02-16	e526d0fd	none	no	feat	INITIAL
feat/p77-online-readiness-daemon-v1	2026-02-16	01f726df	none	no	feat	INITIAL
feat/p78-online-readiness-supervisor-v1	2026-02-16	b7605aae	none	no	feat	INITIAL
feat/p79-supervisor-health-drift-guard-v1	2026-02-16	587ef768	origin/feat/p79-supervisor-health-drift-guard-v1	no	feat	INITIAL
feat/p82-supervisor-service-units-v1	2026-02-16	c9199845	origin/feat/p82-supervisor-service-units-v1	no	feat	INITIAL
feat/p83-final-done-pin-v1	2026-02-16	72dbd541	none	no	feat	INITIAL
feat/p84-service-units-safe-defaults-v1	2026-02-23	1728566e	origin/feat/p84-service-units-safe-defaults-v1	no	feat	INITIAL
feat/p85-live-data-ingest-readiness-v1	2026-02-16	856fcfbe	none	no	feat	INITIAL
feat/p86-online-readiness-plus-ingest-gate-v1	2026-02-16	397b3c9e	none	no	feat	INITIAL
feat/p90-supervisor-metrics-v1	2026-02-16	dc2f4968	origin/feat/p90-supervisor-metrics-v1	no	feat	INITIAL
feat/p91-doc-output-location-v1	2026-02-17	0163d459	origin/feat/p91-doc-output-location-v1	no	feat	INITIAL
feat/p92-p91-audit-snapshot-retention-v1	2026-02-16	cef9485f	origin/feat/p92-p91-audit-snapshot-retention-v1	no	feat	INITIAL
feat/p93-online-readiness-status-dashboard-v1	2026-02-16	ead539d9	none	no	feat	INITIAL
feat/p95-ops-health-meta-gate-v1	2026-02-16	8054bdf4	none	no	feat	INITIAL
feat/p96-p91-kickstart-when-ready-v1	2026-02-16	2a462f8c	origin/feat/p96-p91-kickstart-when-ready-v1	no	feat	INITIAL
feat/p99-ops-loop-cli-launchd-v1	2026-02-16	ab073574	origin/feat/p99-ops-loop-cli-launchd-v1	no	feat	INITIAL
feat/paper-audit-telemetry-summary-v1	2026-02-18	d4092980	none	no	feat	INITIAL
feat/paper-session-decision-context-capture-v1	2026-02-18	1dd55a76	none	no	feat	INITIAL
feat/paper-session-telemetry-summary-workflow-v1	2026-02-18	f82db717	none	no	feat	INITIAL
feat/paper-tests-telemetry-summary-phase-j	2026-02-18	d507b88a	none	no	feat	INITIAL
feat/phase-9a-duration-diagnostic	2025-12-29	0ae1427f	none	no	feat	INITIAL
feat/phase-k-nonempty-policy-telemetry-paper-tests	2026-02-18	37b46b8b	none	no	feat	INITIAL
feat/phase-l-real-policy-telemetry-paper-tests	2026-02-18	0746c97f	none	no	feat	INITIAL
feat/phase-m-regression-guards-real-policy	2026-02-18	fa73f1c3	none	no	feat	INITIAL
feat/phase-n-latest-pointers-and-registry	2026-02-18	3062bd39	none	no	feat	INITIAL
feat/phase-o-portable-registry-gh-references	2026-02-18	1fef4f77	none	no	feat	INITIAL
feat/phase-p-portable-verification-kit	2026-02-18	4d621e30	none	no	feat	INITIAL
feat/phase-q-operator-verify-entrypoint	2026-02-18	06055526	none	no	feat	INITIAL
feat/phase-r-ci-operator-verify-smoke	2026-02-18	67c94d22	none	no	feat	INITIAL
feat/phase-s-final-done-and-index	2026-02-18	77d09a84	none	no	feat	INITIAL
feat/phase-t-runbook-data-node-export-channel	2026-02-18	568b3d9b	origin/feat/phase-t-runbook-data-node-export-channel	no	feat	INITIAL
feat/phase-u-actionable-data-node-exporter	2026-02-18	1dbbd2f7	origin/feat/phase-u-actionable-data-node-exporter	no	feat	INITIAL
feat/phase-v-export-pack-hash-portability	2026-02-19	57354a27	origin/feat/phase-v-export-pack-hash-portability	no	feat	INITIAL
feat/phase-w-ci-export-pack-download-verify	2026-02-19	68212734	origin/feat/phase-w-ci-export-pack-download-verify	no	feat	INITIAL
feat/phase-w2-fastfail-missing-export-secrets	2026-02-19	bce21338	origin/feat/phase-w2-fastfail-missing-export-secrets	no	feat	INITIAL
feat/phase-x-hourly-dispatch-schedulers	2026-02-19	28e64831	none	no	feat	INITIAL
feat/policy-critic-exclude-tests-risklimit	2026-02-20	21fce60d	none	no	feat	INITIAL
feat/policy-enforcement-contract-tests-d2	2026-02-18	423583a2	none	no	feat	INITIAL
feat/policy-enforcer-v0-toggle	2026-02-18	3ed8fa44	none	no	feat	INITIAL
feat/policy-v1-cost-edge-gate	2026-02-18	a15e1c75	none	no	feat	INITIAL
feat/pr950-grafana-ux-pack-next	2026-02-12	73eadca8	origin/feat/pr950-grafana-ux-pack-next	no	feat	INITIAL
feat/praa-operating-rhythm-runbook	2026-02-23	d68ad427	origin/feat/praa-operating-rhythm-runbook	no	feat	INITIAL
feat/prab-health-dashboard-format	2026-02-23	a4eab5d7	origin/feat/prab-health-dashboard-format	no	feat	INITIAL
feat/prba-dashboard-kv-format	2026-02-23	aaff4200	origin/feat/prba-dashboard-kv-format	no	feat	INITIAL
feat/prbb-dashboard-json-v1	2026-02-23	44324e9d	origin/feat/prbb-dashboard-json-v1	no	feat	INITIAL
feat/prbc-stability-gate	2026-02-24	33c6c708	origin/feat/prbc-stability-gate	no	feat	INITIAL
feat/prbd-live-readiness-scorecard	2026-02-24	a0288636	origin/feat/prbd-live-readiness-scorecard	no	feat	INITIAL
feat/prbe-shadow-testnet-scorecard	2026-02-24	20a9c025	origin/feat/prbe-shadow-testnet-scorecard	no	feat	INITIAL
feat/prbe-workflow-nonfatal-scorecard	2026-02-24	57f5f8c0	origin/feat/prbe-workflow-nonfatal-scorecard	no	feat	INITIAL
feat/prbf-live-dryrun-checklist	2026-02-24	62c2749a	origin/feat/prbf-live-dryrun-checklist	no	feat	INITIAL
feat/prbg-execution-evidence-producer	2026-02-24	37abadc1	origin/feat/prbg-execution-evidence-producer	no	feat	INITIAL
